OBJECTID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,WEBSITE,GNIS_ID,SOURCE,FAC_TYPE,TOT_STAFF,TOT_RES,BEDS,EXC_BEDS,OWNERSHIP,MEDICAIDID,MEDICAREID,STATELICID,SUPFACTYPE
1,11597731,UNCLASSIFIED,CAROLINA HOUSE OF PINEHURST,910-235-0700,17 REGIONAL DRIVE, ,PINEHURST,NC,28374,8650,MOORE,37125, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,116038607,-79.4538362,35.2094181,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,76,0, , , ,HAL-063-008,ADULT CARE HOME
2,11558844,UNCLASSIFIED,LENOIR HEALTHCARE CENTER,828-758-7326,322 NUWAY CIRCLE, ,LENOIR,NC,28645,3656,CALDWELL,37027, , , , ,1253664000000,PHONE,1253664000000,MANUAL,623110,NURSING HOMES,774526909,-81.5282615,35.9387347,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS, , ,TECHNIGRAPHICS,NURSING FACILITIES,0,0,120,0, , , ,NH0407,NURSING HOME
3,11597611,UNCLASSIFIED,HAYWOOD LODGE AND RETIREMENT CENTER,828-456-8365,251 SHELTON STREET, ,WAYNESVILLE,NC,28786,3362,HAYWOOD,37087, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,118900813,-82.987096,35.4828218,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,68,0, , , ,HAL-044-009,ADULT CARE HOME
4,11597450,UNCLASSIFIED,HICKORY MANOR,828-324-5400,"2530 16TH STREET, N.E.", ,HICKORY,NC,28601,7603,CATAWBA,37035, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,715084474,-81.3049911,35.7637393,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,88,0, , , ,HAL-018-016,ADULT CARE HOME
5,11597438,UNCLASSIFIED,THE HERITAGE OF NEWPORT,252-223-4554,453 HOWARD BOULEVARD, ,NEWPORT,NC,28570,9244,CARTERET,37031, , , , ,1262044800000,ALT REF,1262044800000,MANUAL,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102856730,-76.8745749,34.7888647,NAVTEQ,2009Q2,ONENTITY, ,TECHNIGRAPHICS, , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,62,0, , , ,HAL-016-017,ADULT CARE HOME
6,11597881,UNCLASSIFIED,AVERSBORO ASSISTED LIVING,919-779-4560,1437 AVERSBORO ROAD, ,GARNER,NC,27529,4546,WAKE,37183, , , , ,1262217600000,ALT REF,1262217600000,MANUAL,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,127865296,-78.6156375,35.6906343,NAVTEQ,2009Q2,ONENTITY, ,TECHNIGRAPHICS, , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,126,0, , , ,HAL-092-128,ADULT CARE HOME
7,11597750,UNCLASSIFIED,HERMITAGE HOUSE REST HOME,910-675-2988,4724 CASTLE HAYNE ROAD, ,CASTLE HAYNE,NC,28429,6403,NEW HANOVER,37129, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,127870374,-77.9095173,34.3371216,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,84,0, , , ,HAL-065-001,ADULT CARE HOME
8,11597748,UNCLASSIFIED,FANNIE NORWOOD MEMORIAL HOME,910-762-0209,501 SOUTH 15TH STREET, ,WILMINGTON,NC,28401,5536,NEW HANOVER,37129, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102768453,-77.9291001,34.2302978,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,16,0, , , ,HAL-065-004,ADULT CARE HOME
9,11597743,UNCLASSIFIED,STERLING HOUSE OF ROCKY MOUNT,252-446-6005,650 GOLDROCK ROAD, ,ROCKY MOUNT,NC,27804,8804,NASH,37127, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102388843,-77.808346,35.9874208,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,60,0, , , ,HAL-064-008,ADULT CARE HOME
10,11597742,UNCLASSIFIED,SPRING ARBOR OF ROCKY MOUNT,252-443-3999,1251 S. WINSTEAD AVENUE, ,ROCKY MOUNT,NC,27803,1557,NASH,37127, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,109884391,-77.8475367,35.9472153,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,84,0, , , ,HAL-064-005,ADULT CARE HOME
