Facility_Type,Facility_Number,Facility_Name,Licensee,Facility_Administrator,Facility_Telephone Number,Facility_Address,Facility_City,Facility_State,Facility_Zip,County_Name,Regional_Office,Facility_Capacity,Facility_Status,License_First_Date,Closed_Date
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,15601302,ACACIA CREEK - UNION CITY,"MASONIC HOMES CAL & ACACIA CREEK, MASONIC SEN LIV",MARTIN HERTER,(510) 441-3700,34400 MISSION BLVD.,UNION CITY,CA,94587,ALAMEDA,15,376,LICENSED,5/20/2010,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,216801686,ALDERSLY,"ALDERSLY/LIFE CARE SERVICES,LLC",GILBERT CARRASCO,(415) 453-7425,326 MISSION AVENUE,SAN RAFAEL,CA,94901,MARIN,21,122,LICENSED,11/5/2004,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,330907913,ALTAVITA VILLAGE,AIRFORCE VILLAGE WEST INC; ESKATON PROPERTIES INC,"WASLEY-FAIRLEY, SUZANNE (S",(951) 697-2000,17050 ARNOLD DR,RIVERSIDE,CA,92518,RIVERSIDE,18,770,CLOSED,12/22/1989,9/4/2019
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803785,ARBOL RESIDENCES OF SANTA ROSA,HCP SANTA ROSA CA OPCO LLC; LIFE CARE SERVICES LLC,"SORIANO, MARIELE",(707) 566-8600,300 FOUNTAINGROVE PKWY,SANTA ROSA,CA,95403,SONOMA,21,158,LICENSED,6/1/2019,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191500146,ARTESIA CHRISTIAN HOME,"ARTESIA CHRISTIAN HOME, INC.",MICHELLE ROBISON,(562) 865-5218,11614 EAST 183RD STREET,ARTESIA,CA,90701,LOS ANGELES,28,143,LICENSED,7/1/1971,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197802543,ATHERTON BAPTIST HOMES,ATHERTON BAPTIST HOMES,MARY MONNIER,(626) 289-4178,214 SOUTH ATLANTIC BLVD.,ALHAMBRA,CA,91801,LOS ANGELES,28,518,LICENSED,3/31/1999,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421700369,ATTERDAG VILLAGE OF SOLVANG,"SOLVANG LUTHERAN HOME, INC.",CHRIS PARKER,(805) 688-3263,636 N ATTERDAG ROAD,SOLVANG,CA,93463,SANTA BARBARA,29,188,LICENSED,5/28/1993,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191501662,BRETHREN HILLCREST HOMES,BRETHREN HILLCREST HOMES,MATTHEW NEELEY,(909) 593-4917,2705 MOUNTAIN VIEW DRIVE,LA VERNE,CA,91750,LOS ANGELES,28,574,LICENSED,7/2/1976,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191501668,"BRITISH HOME IN CALIFORNIA LTD, THE","BRITISH HOME IN CALIFORNIA, LTD THE",MARLENE RAINEN,(626) 355-7240,647 MANZANITA AVE,SIERRA MADRE,CA,91024,LOS ANGELES,28,41,LICENSED,5/1/1976,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,565801963,BROOKDALE CAMARILLO,S-H OPCO CAMARILLO LLC; BKD TWENTY-ONE MANAGEMENT,"GONZAGA, VINCENT",(805) 388-8086,6000 SANTA ROSA RD,CAMARILLO,CA,93012,VENTURA,31,140,LICENSED,8/29/2014,
