"","Facility_Type","Facility_Number","Facility_Name","Licensee","Facility_Administrator","Facility_Address","Facility_City","Facility_State","Facility_Zip","County_Name","Regional_Office","Facility_Capacity","Facility_Status","License_First_Date","lon.x","lat.x"
"1","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",15601302,"ACACIA CREEK - UNION CITY","MASONIC HOMES CAL & ACACIA CREEK, MASONIC SEN LIV","MARTIN HERTER","34400 MISSION BLVD., ALAMEDA","UNION CITY","CA",94587,"ALAMEDA",15,376,"LICENSED","5/20/2010",-122.0042679,37.5990767
"2","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",216801686,"ALDERSLY","ALDERSLY/LIFE CARE SERVICES,LLC","GILBERT CARRASCO","326 MISSION AVENUE, MARIN","SAN RAFAEL","CA",94901,"MARIN",21,122,"LICENSED","11/5/2004",-122.5161468,37.9728979
"3","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",496803785,"ARBOL RESIDENCES OF SANTA ROSA","HCP SANTA ROSA CA OPCO LLC; LIFE CARE SERVICES LLC","SORIANO, MARIELE","300 FOUNTAINGROVE PKWY, SONOMA","SANTA ROSA","CA",95403,"SONOMA",21,158,"LICENSED","6/1/2019",-122.7233931,38.4750526
"4","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",191500146,"ARTESIA CHRISTIAN HOME","ARTESIA CHRISTIAN HOME, INC.","MICHELLE ROBISON","11614 EAST 183RD STREET, LOS ANGELES","ARTESIA","CA",90701,"LOS ANGELES",28,143,"LICENSED","7/1/1971",-118.086108,33.865507
"5","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",197802543,"ATHERTON BAPTIST HOMES","ATHERTON BAPTIST HOMES","MARY MONNIER","214 SOUTH ATLANTIC BLVD., LOS ANGELES","ALHAMBRA","CA",91801,"LOS ANGELES",28,518,"LICENSED","3/31/1999",-118.1515807,34.034102
"6","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",421700369,"ATTERDAG VILLAGE OF SOLVANG","SOLVANG LUTHERAN HOME, INC.","CHRIS PARKER","636 N ATTERDAG ROAD, SANTA BARBARA","SOLVANG","CA",93463,"SANTA BARBARA",29,188,"LICENSED","5/28/1993",-120.1404065,34.6003489
"7","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",191501662,"BRETHREN HILLCREST HOMES","BRETHREN HILLCREST HOMES","MATTHEW NEELEY","2705 MOUNTAIN VIEW DRIVE, LOS ANGELES","LA VERNE","CA",91750,"LOS ANGELES",28,574,"LICENSED","7/2/1976",-117.7745812,34.1061531
"8","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",191501668,"BRITISH HOME IN CALIFORNIA LTD, THE","BRITISH HOME IN CALIFORNIA, LTD THE","MARLENE RAINEN","647 MANZANITA AVE, LOS ANGELES","SIERRA MADRE","CA",91024,"LOS ANGELES",28,41,"LICENSED","5/1/1976",-118.0659784,34.1583634
"9","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",565801963,"BROOKDALE CAMARILLO","S-H OPCO CAMARILLO LLC; BKD TWENTY-ONE MANAGEMENT","GONZAGA, VINCENT","6000 SANTA ROSA RD, VENTURA","CAMARILLO","CA",93012,"VENTURA",31,140,"LICENSED","8/29/2014",-118.9858387,34.2264224
"10","RCFE-CONTINUING CARE RETIREMENT COMMUNITY",374603618,"BROOKDALE CARLSBAD","S-H OPCO CARLSBAD; BKD TWENTY-ONE MANAGMENT","HIGHTOWER, SASHA","3140 EL CAMINO REAL, SAN DIEGO","CARLSBAD","CA",92008,"SAN DIEGO",8,125,"LICENSED","8/29/2014",-120.692152,35.504943
